"Bugs per Month"
"Squad Name","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","01-2020","11-2019","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","01-2021","12-2019","11-2020","02-2021","03-2021","04-2021","05-2021","12-2020","06-2021","07-2021"
"Partner Experience",0,0,0,0,0,0,8.0,29.0,44.0,31.0,22.0,27.0,46.0,43.0,27.0,48.0,92.0,62.0,107.0,62.0,90.0,7.0,91.0,72.0,64.0,85.0,24.0,110.0,58.0,24.0
"Multicloud & Provisioning",0,0,0,0,0,0,0,0,0.0,33.0,2.0,18.0,22.0,33.0,39.0,30.0,132.0,83.0,56.0,100.0,46.0,29.0,50.0,45.0,104.0,56.0,41.0,32.0,79.0,14.0
"Dashboard",0,0,0,0,0,0,0,0,0,13.0,0.0,32.0,43.0,31.0,26.0,16.0,67.0,15.0,26.0,29.0,59.0,15.0,32.0,65.0,53.0,87.0,34.0,41.0,42.0,22.0
"No Squad",8.0,39.0,8.0,10.0,5.0,0.0,0.0,0,0.0,11.0,2.0,9.0,10.0,18.0,8.0,16.0,20.0,70.0,27.0,31.0,25.0,0.0,27.0,14.0,66.0,23.0,6.0,21.0,13.0,31.0
"Data Asset Offerings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,15.0,0,3.0,52.0,37.0,25.0,52.0,18.0,62.0,25.0
"Account & Catalog",0,0,0,0,34.0,23.0,8.0,15.0,52.0,20.0,24.0,0.0,17.0,8.0,20.0,29.0,299.0,210.0,109.0,144.0,52.0,16.0,129.0,73.0,77.0,76.0,35.0,78.0,34.0,3.0
"Onboarding Operations",0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0
"Project Management Dashboard",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Visual Design",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6.0,6.0,0.0,0.0,0,0.0,0.0
"AdTech",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,6.0,17.0,0,0.0,103.0,47.0,30.0,74.0,0.0,129.0,0.0
"Analytics",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
"Account -SelectActivation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
"Customer Assurance: Metering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,8.0,0,6.0,0
"Edge Team",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,0.0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,0
"Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
"PEX/PRM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,0
"Points per Sprint"
"Squad Name","02-05-2019","02-26-2019","03-05-2019","03-12-2019","03-19-2019","04-02-2019","04-09-2019","03-26-2019","04-16-2019","05-21-2019","04-23-2019","07-02-2019","03-03-2020","05-28-2019","06-11-2019","06-18-2019","06-25-2019","07-09-2019","08-06-2019","06-01-2021","09-03-2019","07-16-2019","07-23-2019","08-13-2019","08-20-2019","07-30-2019","08-27-2019","09-10-2019","01-07-2020","02-02-2021","01-14-2020","09-01-2020","02-04-2020","01-05-2021","03-02-2021","05-05-2020","05-04-2021","09-17-2019","09-24-2019","10-01-2019","10-08-2019","10-15-2019","10-22-2019","10-29-2019","11-05-2019","11-12-2019","11-19-2019","11-26-2019","12-03-2019","01-12-2021","02-09-2021","01-21-2020","04-07-2020","02-11-2020","02-18-2020","03-10-2020","06-02-2020","03-17-2020","02-16-2021","03-09-2021","04-14-2020","04-06-2021","04-13-2021","05-11-2021","07-07-2020","08-04-2020","11-03-2020","12-10-2019","10-06-2020","12-17-2019","12-24-2019","01-19-2021","01-28-2020","06-09-2020","03-24-2020","04-21-2020","05-12-2020","05-19-2020","02-25-2020","03-31-2020","05-26-2020","08-11-2020","07-14-2020","06-16-2020","09-08-2020","08-18-2020","06-23-2020","04-28-2020","09-15-2020","07-21-2020","06-30-2020","07-28-2020","09-22-2020","08-25-2020","10-13-2020","11-10-2020","10-20-2020","10-27-2020","11-17-2020","12-31-2019","11-24-2020","12-01-2020","03-16-2021","09-29-2020","02-23-2021","05-18-2021","01-26-2021","04-20-2021","06-08-2021","12-08-2020","12-15-2020","03-23-2021","03-30-2021","04-27-2021","06-15-2021","05-25-2021","12-22-2020","06-22-2021","07-06-2021","06-29-2021","12-29-2020","07-13-2021","07-20-2021"
"Cross-platform",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,4.0,0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0,0.0,0,0,0.0,0,0,0,0,2.0
"Commerce",0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,8.0,0.0,44.0,11.0,37.0,13.0,8.0,32.0,14.0,35.0,16.0,44.0,34.0,13.0,21.0,26.0,25.0,21.0,22.0,22.0,26.0,25.0,37.0,43.0,19.0,26.0,23.0,5.0,26.0,11.0,16.0,10.0,19.0,37.0,16.0,45.0,32.0,8.0,31.0,41.0,0.0,58.0,8.0,0.0,34.0,13.0,10.0,18.0,29.0,26.0,5.0,18.0,21.0,8.0,25.0,60.0,0.0,3.0,21.0,31.0,14.0,18.0,16.0,19.0,8.0,39.0,21.0,16.0,104.0,24.0,59.0,18.0,0,16.0,8.0,21.0,29.0,41.0,42.0,31.0,49.0,35.0,53.0,17.0,24.0,21.0,27.0,8.0,25.0,13.0,0.0,0.0,36.0,0.0,11.0,8.0
"Consumption Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,9.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0,37.0,30.0,0,0,0,0,36.0,58.0,17.0,0,22.0,36.0,42.0,0,21.0,15.0
"Platform Operations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,44.0,0,8.0,0,0.0,26.0,0.0,25.0,2.0,0,0,0,0,0,0.0,0.0,0,0,0,0,10.0,28.0,0,0.0,0,0,0,0.0,0.0,0.0,23.0,0.0,26.0,21.0,35.0,7.0,13.0,60.0,0,14.0,0,0,3.0,0,0,0,0.0,0.0,0.0,0,0,0,9.0,26.0,0.0,37.0,0.0,0.0,0,4.0,10.0,0.0,23.0,60.0,34.0,32.0,31.0,37.0,10.0,2.0,0,12.0,7.0,6.0,45.0,19.0,18.0,8.0,35.0,33.0,11.0,43.0,15.0,55.0,24.0,12.0,34.0,2.0,42.0,13.0,11.0,2.0,9.0,19.0
"Discovery & Account",0,0,0,8.0,0,0.0,0,0,0,0,0,13.0,6.0,0,0,0,0,5.0,0.0,6.0,12.0,6.0,0,0.0,0,5.0,0.0,13.0,0.0,3.0,10.0,7.0,11.0,0.0,7.0,5.0,11.0,14.0,24.0,2.0,7.0,22.0,16.0,21.0,19.0,26.0,10.0,18.0,5.0,3.0,15.0,15.0,7.0,12.0,0.0,9.0,3.0,3.0,15.0,0.0,13.0,0.0,14.0,8.0,3.0,6.0,1.0,1.0,4.0,8.0,12.0,0.0,18.0,1.0,14.0,16.0,2.0,7.0,5.0,8.0,5.0,7.0,13.0,6.0,9.0,2.0,3.0,5.0,0.0,0,12.0,9.0,0.0,0.0,12.0,3.0,7.0,3.0,4.0,0,1.0,16.0,8.0,5.0,7.0,0.0,3.0,5.0,21.0,3.0,18.0,13.0,2.0,3.0,12.0,8.0,15.0,12.0,9.0,15.0,1.0,10.0,0.0
"Entitlements & Registry",0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0.0,0.0,0.0,0.0,16.0,16.0,0,0,0,2.0,0,1.0,10.0,3.0,10.0,1.0,20.0,9.0,0.0,19.0,2.0,11.0,3.0,11.0,5.0,7.0,5.0,3.0,3.0,11.0,0,0,11.0,8.0,5.0,51.0,11.0,8.0,3.0,16.0,16.0,4.0,2.0,27.0,26.0,0.0,102.0,7.0,0.0,0.0,16.0,52.0,0,8.0,0,11.0,8.0,4.0,11.0,0,3.0,10.0,13.0,8.0,2.0,6.0,32.0,27.0,4.0,21.0,1.0,8.0,1.0,14.0,16.0,10.0,13.0,30.0,26.0,78.0,40.0,36.0,23.0,10.0,5.0,16.0,6.0,28.0,28.0,55.0,16.0,27.0,62.0,2.0,30.0,30.0,6.0,50.0,11.0,36.0,18.0,25.0,11.0,13.0,22.0,0.0,6.0,0.0
"Support Experience",0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,10.0,26.0,19.0,33.0,2.0,20.0,19.0,0.0,20.0,1.0,9.0,0,1.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,0.0,15.0,0,18.0,12.0,10.0,6.0,30.0,33.0,1.0,17.0,32.0,25.0,7.0,18.0,33.0,0.0,12.0,2.0,2.0,33.0,12.0,7.0,5.0,11.0,12.0,1.0,10.0,10.0,10.0,23.0,59.0,18.0,26.0,19.0,14.0,10.0,18.0,32.0,8.0,24.0,21.0,30.0,38.0,16.0,18.0,34.0,2.0,2.0,22.0,0.0,22.0,71.0,37.0,6.0,8.0,27.0,37.0,21.0,34.0,16.0,47.0,35.0,6.0,12.0,11.0,47.0,3.0,4.0,15.0,22.0,3.0
"e2e test automation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,21.0,0,21.6,0,17.0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,16.0,0,0,0,0,0,0,0,7.0,4.0,0,11.0,10.0,3.0,0.0,0,3.0,0,3.0,0,0,7.0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,19.0,8.0,0,0,8.0,0,0,0,1.0,1.4,15.0,0.0,7.0,0.0,0.0,0,16.0,9.0,24.0,2.0,19.0,8.0,13.0,8.0,27.0,0.0,41.0,3.0,5.0,6.0,10.0,37.0,5.0,9.0,9.0,8.0,9.0,7.0,27.0
"Support Operations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,10.0,0,3.0,0,0.0,8.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,7.0,0,0,0,0,0,0,0,2.0,4.0,0,11.0,14.0,6.0,0,0,17.0,0,11.0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,4.0,0,0,0,24.0,0,29.0,8.0,19.0,4.0,0.0,0,4.0,3.0,14.0,16.0,18.0,13.0,10.0,25.0,25.0,8.0,9.0,7.0,8.0,4.0,17.0,4.0,6.0,13.0,12.0,9.0,2.0,6.0,13.0
"Operator & Metering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,8.0,2.0,0,3.0,0.0,0.0,0,0.0,4.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0.0,0,2.0,0,13.0,0.0,16.0,0.0,3.0,0,0.0,23.0,34.0,0,0.0,0,37.0,2.0,0,2.0,8.0,1.0,0,0.0,0.0
"Partner Experience",0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0.0,8.0,8.0,0,0,0.0,0,0,0.0,3.0,2.0,10.0,10.0,13.0,12.0,5.0,3.0,4.0,5.0,5.0,8.0,13.0,2.0,15.0,13.0,14.0,13.0,3.0,3.0,1.0,4.0,27.0,10.0,7.0,16.0,0.0,6.0,7.0,0.0,13.0,21.0,25.0,21.0,8.0,22.0,9.0,17.0,15.0,35.0,5.0,10.0,0.0,0,13.0,5.0,21.0,7.0,4.0,1.0,10.0,8.0,11.0,14.0,6.0,44.0,11.0,36.0,12.0,11.0,0.0,9.0,7.0,5.0,16.0,34.0,29.0,30.0,0.0,15.0,6.0,39.0,0,9.0,20.0,5.0,23.0,36.0,7.0,40.0,8.0,3.0,47.0,32.0,0.0,31.0,42.0,9.0,0,15.0,32.0,3.0,14.0,5.0,7.0,14.0
