"Issue URL","Opened","Closed","Squad","Labels"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/67","2020-10-30 18:36:20","2020-11-03 03:53:25","No Squad","['duplicate']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/51","2020-10-23 18:21:30","2020-11-03 02:20:23","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/49","2020-10-23 18:11:03","2020-11-03 02:09:13","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/56","2020-10-28 20:13:50","2020-11-03 02:09:06","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/60","2020-10-28 20:52:01","2020-11-03 02:02:38","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/59","2020-10-28 20:43:10","2020-11-03 02:02:23","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/58","2020-10-28 20:32:49","2020-11-03 02:02:16","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/72","2020-11-02 20:18:00","2020-11-03 02:02:09","No Squad","['documentation', 'medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/16","2020-10-19 19:34:03","2020-10-29 15:56:21","No Squad","['documentation', 'question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/68","2020-10-30 19:11:29","2020-10-30 23:14:19","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/57","2020-10-28 20:17:17","2020-10-29 15:56:21","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/53","2020-10-26 18:17:20","2020-10-29 15:56:21","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/52","2020-10-23 18:21:53","2020-10-28 22:46:37","No Squad","['documentation', 'duplicate', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/50","2020-10-23 18:12:03","2020-10-28 20:12:04","No Squad","['documentation', 'duplicate', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/27","2020-10-21 18:16:50","2020-10-22 21:42:20","No Squad","['question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/48","2020-10-22 21:48:58","2020-10-22 21:49:49","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/35","2020-10-21 21:55:59","2020-10-22 21:41:04","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/36","2020-10-21 21:57:45","2020-10-22 21:41:04","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/37","2020-10-21 21:58:59","2020-10-22 21:41:04","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/30","2020-10-21 19:26:28","2020-10-22 17:03:40","No Squad","['question', 'large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/31","2020-10-21 19:31:52","2020-10-21 20:10:57","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/2","2020-10-19 18:07:21","2020-10-21 19:20:30","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/14","2020-10-19 19:30:58","2020-10-21 18:57:40","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/13","2020-10-19 19:30:19","2020-10-21 18:57:22","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/1","2020-10-19 18:05:25","2020-10-20 18:28:10","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/11","2020-10-19 19:25:24","2020-10-19 19:53:01","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/4","2020-10-19 18:25:11","2020-10-20 23:15:58","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/12","2020-10-19 19:27:39","2020-10-20 22:15:43","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/5","2020-10-19 18:28:47","2020-10-20 22:15:42","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/8","2020-10-19 19:14:48","2020-10-20 19:44:28","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/15","2020-10-19 19:32:57","2020-10-20 17:37:14","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/6","2020-10-19 18:30:03","2020-10-20 17:37:13","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/9","2020-10-19 19:21:05","2020-10-20 17:37:13","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/10","2020-10-19 19:24:41","2020-10-20 17:37:13","No Squad","['small']"
